"","GEOID","NAME","variable","estimate","moe","label","concept"
"19","22","Louisiana","S0101_C02_030",16.3,0.1,"Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!65 years and over","Age and Sex"
"20","23","Maine","S0101_C02_030",21.9,0.1,"Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!65 years and over","Age and Sex"
"21","24","Maryland","S0101_C02_030",16.3,0.1,"Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!65 years and over","Age and Sex"
"22","25","Massachusetts","S0101_C02_030",17.5,0.1,"Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!65 years and over","Age and Sex"
"23","26","Michigan","S0101_C02_030",18.2,0.1,"Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!65 years and over","Age and Sex"
"24","27","Minnesota","S0101_C02_030",16.8,0.1,"Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!65 years and over","Age and Sex"
"25","28","Mississippi","S0101_C02_030",16.8,0.1,"Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!65 years and over","Age and Sex"
"26","29","Missouri","S0101_C02_030",17.5,0.1,"Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!65 years and over","Age and Sex"
"27","30","Montana","S0101_C02_030",19.7,0.1,"Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!65 years and over","Age and Sex"
"28","31","Nebraska","S0101_C02_030",16.4,0.1,"Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!65 years and over","Age and Sex"
"29","32","Nevada","S0101_C02_030",16.6,0.1,"Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!65 years and over","Age and Sex"
"30","33","New Hampshire","S0101_C02_030",19.5,0.1,"Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!65 years and over","Age and Sex"
"31","34","New Jersey","S0101_C02_030",16.8,0.1,"Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!65 years and over","Age and Sex"
"32","35","New Mexico","S0101_C02_030",18.8,0.1,"Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!65 years and over","Age and Sex"
"33","36","New York","S0101_C02_030",17.4,0.1,"Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!65 years and over","Age and Sex"
"34","37","North Carolina","S0101_C02_030",16.9,0.1,"Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!65 years and over","Age and Sex"
"35","38","North Dakota","S0101_C02_030",16.2,0.1,"Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!65 years and over","Age and Sex"
"36","39","Ohio","S0101_C02_030",17.9,0.1,"Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!65 years and over","Age and Sex"
"37","40","Oklahoma","S0101_C02_030",16.1,0.1,"Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!65 years and over","Age and Sex"
"38","41","Oregon","S0101_C02_030",18.6,0.1,"Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!65 years and over","Age and Sex"
"39","42","Pennsylvania","S0101_C02_030",19.1,0.1,"Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!65 years and over","Age and Sex"
"40","44","Rhode Island","S0101_C02_030",18.3,0.1,"Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!65 years and over","Age and Sex"
"41","45","South Carolina","S0101_C02_030",18.5,0.1,"Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!65 years and over","Age and Sex"
"42","46","South Dakota","S0101_C02_030",17.6,0.1,"Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!65 years and over","Age and Sex"
"43","47","Tennessee","S0101_C02_030",16.8,0.1,"Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!65 years and over","Age and Sex"
"44","48","Texas","S0101_C02_030",13.2,0.1,"Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!65 years and over","Age and Sex"
"45","49","Utah","S0101_C02_030",11.6,0.1,"Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!65 years and over","Age and Sex"
"46","50","Vermont","S0101_C02_030",20.8,0.1,"Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!65 years and over","Age and Sex"
"47","51","Virginia","S0101_C02_030",16.3,0.1,"Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!65 years and over","Age and Sex"
"48","53","Washington","S0101_C02_030",16.3,0.1,"Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!65 years and over","Age and Sex"
"49","54","West Virginia","S0101_C02_030",20.7,0.1,"Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!65 years and over","Age and Sex"
"50","55","Wisconsin","S0101_C02_030",18,0.1,"Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!65 years and over","Age and Sex"
"51","56","Wyoming","S0101_C02_030",18,0.1,"Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!65 years and over","Age and Sex"
"52","72","Puerto Rico","S0101_C02_030",22.7,NA,"Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!65 years and over","Age and Sex"
